PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,Canonical URL,Canonical URL code,Canonical URL patch,Canonical URL patch status,No. of canonical inlinks,Content hash,No. of pages having the same content,Title patch,Title patch status,Meta description,Meta description patch,Meta description patch status,H1
36,https://simple-data-cleaner.com/how-it-works.php,How It Works - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,0,true,,,,,0,17992739285953669911,2,,,"Learn how Simple Data Cleaner works - upload your file, clean your data in your browser, and download in any format. 100% private, no data leaves your device.",,,How It Works
36,https://www.simple-data-cleaner.com/how-it-works.php,How It Works - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,1,true,,,,,0,17992739285953669911,2,,,"Learn how Simple Data Cleaner works - upload your file, clean your data in your browser, and download in any format. 100% private, no data leaves your device.",,,How It Works
40,https://simple-data-cleaner.com/login.php,Login - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,1,true,,,,,0,17814940980654243466,2,,,,,,Welcome Back
40,https://www.simple-data-cleaner.com/login.php,Login - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,1,true,,,,,0,17814940980654243466,2,,,,,,Welcome Back
36,https://simple-data-cleaner.com/security.php,Security & Privacy - Simple Data Cleaner | 100% Private Processing,text/html; charset=utf-8,false,200,0,0,true,,,,,0,17687821086571560404,2,,,"Your data is processed entirely in your browser - it never leaves your device. No servers, no databases, no third parties. Learn about our commitment to security and privacy.",,,Security & Privacy
36,https://www.simple-data-cleaner.com/security.php,Security & Privacy - Simple Data Cleaner | 100% Private Processing,text/html; charset=utf-8,false,200,0,1,true,,,,,0,17687821086571560404,2,,,"Your data is processed entirely in your browser - it never leaves your device. No servers, no databases, no third parties. Learn about our commitment to security and privacy.",,,Security & Privacy
36,https://www.simple-data-cleaner.com/register.php,Register - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,1,true,,,,,0,16159418381924127285,2,,,,,,Create Account
36,https://simple-data-cleaner.com/register.php,Register - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,1,true,,,,,0,16159418381924127285,2,,,,,,Create Account
36,https://simple-data-cleaner.com/validation-rules.php,Validation Rules & Standards - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,0,true,,,,,0,15875342069782568388,2,,,"Comprehensive guide to all validation rules for UK data formats including phone numbers, NI numbers, postcodes, and bank sort codes",,,Validation Rules & Standards
36,https://www.simple-data-cleaner.com/validation-rules.php,Validation Rules & Standards - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15875342069782568388,2,,,"Comprehensive guide to all validation rules for UK data formats including phone numbers, NI numbers, postcodes, and bank sort codes",,,Validation Rules & Standards
21,https://simple-data-cleaner.com/sort-code-variations-coverage.php,Bank Sort Code Format Support - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,0,true,,,,,0,14642442231953508332,2,,,,,,Bank Sort Code Format Support
21,https://www.simple-data-cleaner.com/sort-code-variations-coverage.php,Bank Sort Code Format Support - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,2,true,,,,,0,14642442231953508332,2,,,,,,Bank Sort Code Format Support
36,https://www.simple-data-cleaner.com/privacy.php,Privacy Policy - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,1,true,,,,,0,14321346443968623109,2,,,Your privacy is our priority. Learn how Simple Data Cleaner processes all data in your browser - your files never leave your device.,,,Privacy Policy
36,https://simple-data-cleaner.com/privacy.php,Privacy Policy - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,0,true,,,,,0,14321346443968623109,2,,,Your privacy is our priority. Learn how Simple Data Cleaner processes all data in your browser - your files never leave your device.,,,Privacy Policy
21,https://simple-data-cleaner.com/index.php,Simple Data Cleaner - 100% Private UK Data Validation | GDPR Compliant,text/html; charset=utf-8,false,200,0,1,true,,,,,0,14144387497258867308,4,,,"Clean and validate UK phone numbers, NI numbers, postcodes, and bank sort codes in your browser. 100% private - your data never leaves your device. Perfect for businesses handling sensitive PII. GDPR compliant data cleaning.",,,Clean Your UK Data Instantly
37,https://www.simple-data-cleaner.com/,Simple Data Cleaner - 100% Private UK Data Validation | GDPR Compliant,text/html; charset=utf-8,false,200,0,0,true,,,,,0,14144387497258867308,4,,,"Clean and validate UK phone numbers, NI numbers, postcodes, and bank sort codes in your browser. 100% private - your data never leaves your device. Perfect for businesses handling sensitive PII. GDPR compliant data cleaning.",,,Clean Your UK Data Instantly
21,https://www.simple-data-cleaner.com/index.php,Simple Data Cleaner - 100% Private UK Data Validation | GDPR Compliant,text/html; charset=utf-8,false,200,0,2,true,,,,,0,14144387497258867308,4,,,"Clean and validate UK phone numbers, NI numbers, postcodes, and bank sort codes in your browser. 100% private - your data never leaves your device. Perfect for businesses handling sensitive PII. GDPR compliant data cleaning.",,,Clean Your UK Data Instantly
